namespace,name,func,author,scope,usage,description,parameters
battle script commands (battle lua_State only),AddUnitsToGroup,005CDF10,,,,"Takes a table of unit addresses, and a group id and adds the units to the group specified",""
battle script commands (battle lua_State only),Anchor,005CDFD0,,,,,""
battle script commands (battle lua_State only),BackProjectPosition,005CDFF0,,,,"In: x,y,z, height adjustment.  Out: x,y z depth to move Component to, distance from camera",""
battle script commands (battle lua_State only),BattleDetails,005CE0E0,,,,"Get some details about the battle.  For the time being this is whether it is a naval battle, and the players faction details",""
battle script commands (battle lua_State only),BattleEditorPause,00461180,,,,No documentation,""
battle script commands (battle lua_State only),BattleEditorUnpause,00461180,,,,No documentation,""
battle script commands (battle lua_State only),BattleEditorVisibleState,005CE2D0,,,,No documentation,""
battle script commands (battle lua_State only),Board,005CE2F0,,,,,""
battle script commands (battle lua_State only),BroadsideMouseEvent,005CE330,,,,,""
battle script commands (battle lua_State only),Broadside_Left_Issue_Order,005CE450,,,,,""
battle script commands (battle lua_State only),Broadside_Right_Issue_Order,005CE470,,,,,""
battle script commands (battle lua_State only),Broadside_Update,005CE490,,,,,""
battle script commands (battle lua_State only),CameraFocusOnSelection,005CE6A0,,,,Takes the address of a unit.  Zooms the camera over to look at the unit specified.  Doesn't currently work in naval battles,""
battle script commands (battle lua_State only),CameraZoomTo,005CE960,,,,"In: Position (x,y,z), facing",""
battle script commands (battle lua_State only),CameraZoomToPictureInPictureLocation,005CEA70,,,,"When the Picture in Picture is displayed, clicking this will zoom the camera to its location",""
battle script commands (battle lua_State only),CameraZoomToSelection,005CEBC0,,,,Takes the address of a unit.  Zooms the camera over to look at the unit specified.  Doesn't currently work in naval battles,""
battle script commands (battle lua_State only),CancelOrderForSelection,005CED60,,,,Cancel order for selected units,""
battle script commands (battle lua_State only),ChangeAdviceAudioMode,00791030,,,,Repeat the current advice on the c++ side,""
battle script commands (battle lua_State only),ChangeAdviceTextMode,00791070,,,,Repeat the current advice on the c++ side,""
battle script commands (battle lua_State only),ClearDeployableItemsPanel,005CEE20,,,,checks if a unit is selectable,""
battle script commands (battle lua_State only),Column_Infantry_Vanguard,005CEE80,,,,,""
battle script commands (battle lua_State only),CombatRatioDetails,005CEF50,,,,Out: Returns a table of details about each pair of units that need the combat ratio display,""
battle script commands (battle lua_State only),CreateUnitGroup,005CF230,,,,"Takes a table of unit address to build a group from, returns the id of the new group",""
battle script commands (battle lua_State only),Crescent_Attack,005CF2D0,,,,,""
battle script commands (battle lua_State only),Crescent_Envelop,005CF3A0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Detonate_Fougasse_Basic,005CF470,,,,,""
battle script commands (battle lua_State only),Current_Selection_Detonate_Fougasse_Improved,005CF490,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Accuracy_Boost,005CF4B0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Canister_Shottype,005CF500,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Carcass_Shottype,005CF550,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Deploy_Stakes,005CF5A0,,,,Currently selected units deploy stakes,""
battle script commands (battle lua_State only),Current_Selection_Enable_Diamond_Formation,005CF5C0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Dismount,005CF610,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Explosive_Shell,005CF660,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Fire_And_Advance,005CF6B0,,,,Currently selected units enable/disable the fire and advance order.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Enable_Fire_At_Will,005CF700,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Grenade_Shottype,005CF780,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Guard,005CF7D0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Hot_Shottype,005CF820,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Improved_Grenades,005CF870,,,,Currently selected units select improved grenades.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Enable_Inspire_Unit,005CF8C0,,,,Currently selected units try to rally nearby units.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Enable_Light_Infantry_Behaviour,005CF910,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Limber,005CF960,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Loose_Formation,005CF9B0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Melee,005CFA00,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Melee_Formation,005CFA70,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Percussive_Shell,005CFA90,,,,Currently selected units enable/disable percussive shells.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Enable_Pike_Square_Formation,005CFAD0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Pike_Wall_Formation,005CFB20,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Plug_Bayonets,005CFB70,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Prone_Formation,005CFBC0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Quicklime_Shottype,005CFC10,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_ROF_Boost,005CFC60,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Ring_Bayonets,005CFA70,,,,Currently selected units enable/disable ring bayonets.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Enable_Rockets_Shottype,005CFCB0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Shot_Shottype,005CFD00,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Shrapnel_Shottype,005CFD50,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Skirmish,005CFDA0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Spike,005CFA70,,,,Currently selected units perform the spike order,""
battle script commands (battle lua_State only),Current_Selection_Enable_Square_Formation,005CFDF0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Enable_Wedge_Formation,005CFE40,,,,,""
battle script commands (battle lua_State only),Current_Selection_Halt,005CDFD0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Increase_File,005CFE90,,,,,""
battle script commands (battle lua_State only),Current_Selection_Increase_File_Proxy,005CFED0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Increase_Rank,005CFEE0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Increase_Rank_Proxy,005CFF10,,,,,""
battle script commands (battle lua_State only),Current_Selection_Move_Backwards,005CFF20,,,,,""
battle script commands (battle lua_State only),Current_Selection_Move_Backwards_Proxy,005CFF50,,,,,""
battle script commands (battle lua_State only),Current_Selection_Move_Forwards,005CFF90,,,,,""
battle script commands (battle lua_State only),Current_Selection_Move_Forwards_Proxy,005CFF50,,,,,""
battle script commands (battle lua_State only),Current_Selection_Proxy_Rotate_Left,005CFFE0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Proxy_Rotate_Right,005D0020,,,,,""
battle script commands (battle lua_State only),Current_Selection_Proxy_Turn_Left,005CFFE0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Proxy_Turn_Right,005D0020,,,,,""
battle script commands (battle lua_State only),Current_Selection_Rally_Units,005D0060,,,,Currently selected units try to rally nearby units.  Takes true or false.,""
battle script commands (battle lua_State only),Current_Selection_Rotate_Left,005D0080,,,,,""
battle script commands (battle lua_State only),Current_Selection_Rotate_Right,005D00F0,,,,,""
battle script commands (battle lua_State only),Current_Selection_Runs,005D0160,,,,,""
battle script commands (battle lua_State only),Current_Selection_Special_ability,00461180,,,,,""
battle script commands (battle lua_State only),Current_Selection_Turn_Left,005D0180,,,,,""
battle script commands (battle lua_State only),Current_Selection_Turn_Right,005D0200,,,,,""
battle script commands (battle lua_State only),Current_Selection_Walks,005D0280,,,,,""
battle script commands (battle lua_State only),CycleBattleSpeed,005D02A0,,,,Returns the current time multiplier of the battle,""
battle script commands (battle lua_State only),Decrease_Sail,005D0390,,,,,""
battle script commands (battle lua_State only),DeploymentFinishYesStart,005D0470,,,,Returns true if we're in conflict mode,""
battle script commands (battle lua_State only),DestroyUnitGroup,005D04A0,,,,Takes the id of a unit group as returned by the create function and removes it from the game,""
battle script commands (battle lua_State only),DisableChevaux,005D05B0,,,,DisableChevaux,""
battle script commands (battle lua_State only),DisableEarthworks,005D05C0,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),DisableFougasse,005D05D0,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),DisableFougasseImproved,005D05E0,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),DisableGabionade,005D05F0,,,,DisableGabionade,""
battle script commands (battle lua_State only),DismissCurrentAdvice,007910B0,,,,Dismisses the current advice on the c++ side,""
battle script commands (battle lua_State only),Double_Line_Screened,005D0600,,,,,""
battle script commands (battle lua_State only),Double_Line_Standard,005D06D0,,,,,""
battle script commands (battle lua_State only),DropInInterface,005D07A0,,,,Out: Should always return null pointer as it shouldn't be used.  Only included for the sake of generic code,""
battle script commands (battle lua_State only),ElapsedBattleTime,005D07D0,,,,Returns the current time in seconds,""
battle script commands (battle lua_State only),EnableChevaux,005D0800,,,,EnableChevaux,""
battle script commands (battle lua_State only),EnableEarthworks,005D0810,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),EnableFougasse,005D0820,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),EnableFougasseImproved,005D0830,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),EnableGabionade,005D0840,,,,EnableGabionade,""
battle script commands (battle lua_State only),EnableShortcutHandler,005D0850,,,,In: true/false to enable/disable all keyboard shortcuts,""
battle script commands (battle lua_State only),EnableVoiceChat,005D0890,,,,In: true/false to start/stop voice chat,""
battle script commands (battle lua_State only),EntityDisplayInterface,005D08F0,,,,Out: Returns a pointer to the EntityDisplay,""
battle script commands (battle lua_State only),EnumerateBattleReplays,005D0940,,,,"In: replay directory, file extention.  Out: Table of details about each replay file found in the directory",""
battle script commands (battle lua_State only),ExitBattle,005D0980,,,,set to normal tick speed and finishes the battle,""
battle script commands (battle lua_State only),ExplicitlyCancelMouseHeld,005D0990,,,,forces to UI to think the mouse left button is no longer held. Used when a panel is open that takes focus,""
battle script commands (battle lua_State only),Ffwd,005D09B0,,,,,""
battle script commands (battle lua_State only),FileExtenstionAndPathForWriteClass,005D09D0,,,,"In: string identifying OSFS_WRITECLASS.  Out: File extension used by that class, directory files are kept in",""
battle script commands (battle lua_State only),FindImagePath,005D0AE0,,,,Tells us what the currently selected Ui skin is (which should equate to the sub-folder used,""
battle script commands (battle lua_State only),Fire_At_Will,005D0C00,,,,,""
battle script commands (battle lua_State only),Fwd,005D0C50,,,,,""
battle script commands (battle lua_State only),GetHealthStatus,005D0C70,,,,Update the killometer bar,""
battle script commands (battle lua_State only),Go_Straight,005D0CB0,,,,,""
battle script commands (battle lua_State only),HasEnteredDeployment,005D0CD0,,,,Returns true if we're in deployment (not default deployment) mode,""
battle script commands (battle lua_State only),Increase_Sail,005D0D10,,,,,""
battle script commands (battle lua_State only),InformAdviceReachedRender,007910D0,,,,repeat the curently played advice,""
battle script commands (battle lua_State only),InformOfBattleSummaryDismiss,005D0DF0,,,,local player has dismissed the summary,""
battle script commands (battle lua_State only),InformOfDeploymentCountdownBegun,005D0E00,,,,local player has dismissed the summary,""
battle script commands (battle lua_State only),InformOfDeploymentFinished,005D0E30,,,,local player has dismissed the summary,""
battle script commands (battle lua_State only),IsAudioPlaying,00791110,,,,repeat the curently played advice,""
battle script commands (battle lua_State only),IsCampaignBattle,005D0E40,,,,Out: True if this battle was started from the campaign map,""
battle script commands (battle lua_State only),IsConflict,005D0E70,,,,Returns true if we're in conflict mode,""
battle script commands (battle lua_State only),IsDeploymentOrConflict,005D0EB0,,,,Returns true if we're in conflict mode,""
battle script commands (battle lua_State only),IsMinimisedHUD,005D0F20,,,,If it's minimised HUD,""
battle script commands (battle lua_State only),IsMultiplayer,005D0FC0,,,,Out: True if this is a multiplayer battle,""
battle script commands (battle lua_State only),IsReplay,005D1000,,,,If it's a replay,""
battle script commands (battle lua_State only),IsSpectator,005D1040,,,,If it's a spectator,""
battle script commands (battle lua_State only),IsTimedMultiplayerGame,005D0FC0,,,,,""
battle script commands (battle lua_State only),IsTutorial,005D10A0,,,,Out: true if we are running a tutorial battle,""
battle script commands (battle lua_State only),IsUnitSelectable,005D10D0,,,,checks if a unit is selectable,""
battle script commands (battle lua_State only),Land_Unit_Withdraw,005D1150,,,,,""
battle script commands (battle lua_State only),Line_Abreast,005D1170,,,,,""
battle script commands (battle lua_State only),Line_Astern,005D1240,,,,,""
battle script commands (battle lua_State only),ListOfPlayersInGame,005D1310,,,,Out: A table of the players,""
battle script commands (battle lua_State only),LocalisationString,005D1680,,,,Retrieve a string from the random localisation strings table,""
battle script commands (battle lua_State only),MPOnlinePresence,005D1710,,,,Out: Pointer to the online presence that exists in game core,""
battle script commands (battle lua_State only),MPRematchVotes,005D1750,,,,Gets the current number of votes to have a rematch,""
battle script commands (battle lua_State only),MPRestartPossible,005D1790,,,,If someone left the lobby then we can't restart,""
battle script commands (battle lua_State only),MPRestartSwappedPossible,005D17D0,,,,If someone left the lobby then we can't restart,""
battle script commands (battle lua_State only),MPResultsReady,005D1810,,,,Checks to see if the MP battle results have been collected,""
battle script commands (battle lua_State only),MPSwapVotes,005D1860,,,,Gets the current number of votes to swap sides,""
battle script commands (battle lua_State only),MPVoteRestart,005D18A0,,,,Player votes,""
battle script commands (battle lua_State only),MPVotingComplete,005D18D0,,,,Checks for everyone having voted,""
battle script commands (battle lua_State only),MouseMovedOffCard,005D1940,,,,Notify the game that unit selection has changed,""
battle script commands (battle lua_State only),MouseMovedOntoCard,005D1960,,,,Notify the game that mouse has moved over this card,""
battle script commands (battle lua_State only),Move_Camera,00857CA0,,,,Move Camera,""
battle script commands (battle lua_State only),Move_Selection_To_Rader_Location,00857E50,,,,Move Camera,""
battle script commands (battle lua_State only),MultiplayerBaseInterface,005D19D0,,,,Out: Pointer to the multiplayer control module (to be passed to UIMPInterface object,""
battle script commands (battle lua_State only),Naval_Unit_Withdraw,005D1150,,,,,""
battle script commands (battle lua_State only),NextAdvice,00791160,,,,display the next piece of advice,""
battle script commands (battle lua_State only),NextAvailableGroupID,005D1A10,,,,Takes the id of a unit group as returned by the create function and removes it from the game,""
battle script commands (battle lua_State only),NotifyCameraControlsChanged,005D1AA0,,,,this is for lua to change the camera (key controls handled by shortcut handler,""
battle script commands (battle lua_State only),NotifyUIOptionsChanged,005D1AC0,,,,this is for lua to change the camera (key controls handled by shortcut handler,""
battle script commands (battle lua_State only),NumHumansRequestingNextPhase,005D1CA0,,,,the number of Human players Requesting Next battle Phase,""
battle script commands (battle lua_State only),Pause,005D1CE0,,,,,""
battle script commands (battle lua_State only),Play,005D1D00,,,,,""
battle script commands (battle lua_State only),PostBattleDismissContinueBattle,005D1D20,,,,local player has dismissed the summary,""
battle script commands (battle lua_State only),PostBattleDismissEndBattle,005D1D30,,,,local player has dismissed the summary,""
battle script commands (battle lua_State only),PostBattleInfo,005D1D40,,,,Fetches the post battle info from the game and Alexs' MP API,""
battle script commands (battle lua_State only),PreviousAdvice,00791180,,,,display the previous piece of advice,""
battle script commands (battle lua_State only),Ram,005D2F60,,,,,""
battle script commands (battle lua_State only),ReleaseMouseCursorInterrupt,005D2F80,,,,forces to UI to think the mouse left button is no longer held. Used when a panel is open that takes focus,""
battle script commands (battle lua_State only),RemainingTimeToDrop,005D2F90,,,,Out: True if this is a multiplayer battle,""
battle script commands (battle lua_State only),RemoveUnitsFromGroup,005D2FE0,,,,"Takes a table of unit addresses, and removes the units from the group they are in",""
battle script commands (battle lua_State only),Repair,005D3080,,,,,""
battle script commands (battle lua_State only),RepeatAdvice,007911A0,,,,repeat the curently played advice,""
battle script commands (battle lua_State only),Repel,005D30A0,,,,,""
battle script commands (battle lua_State only),RequestMouseInterruptType,005D30C0,,,,forces to UI to think the mouse left button is no longer held. Used when a panel is open that takes focus,""
battle script commands (battle lua_State only),ResizeMinimap,00857F00,,,,Fetches the post battle info from the game and Alexs' MP API,""
battle script commands (battle lua_State only),RetrieveGameCore,005D3110,,,,Out: Returns pointers to the game core so that a UIPrefsInterface object can be initialised,""
battle script commands (battle lua_State only),SaveReplay,005D3150,,,,In: battle replay file name,""
battle script commands (battle lua_State only),ScreenSize,005D3280,,,,Retrieve the current width and height of the screen,""
battle script commands (battle lua_State only),SelectAllArtillery,005D32F0,,,,select units of this type,""
battle script commands (battle lua_State only),SelectAllCavalry,005D3310,,,,select units of this type,""
battle script commands (battle lua_State only),SelectAllInfantry,005D3330,,,,select units of this type,""
battle script commands (battle lua_State only),SelectAllMelee,005D3350,,,,select units of this type,""
battle script commands (battle lua_State only),SelectUnitBasedOnUnitType,005D3370,,,,Change the selection based on a unit class,""
battle script commands (battle lua_State only),SelectionChanged,005D3410,,,,Notify the game that unit selection has changed,""
battle script commands (battle lua_State only),SetSelectionProxy,005D3430,,,,Takes the address of the entity (ship/unit) and a boolean flag and sets the proxy display for that entity as appropriate,""
battle script commands (battle lua_State only),Shot_Chain,005D3630,,,,,""
battle script commands (battle lua_State only),Shot_Grape,005D3650,,,,,""
battle script commands (battle lua_State only),Shot_Waterline,005D3670,,,,,""
battle script commands (battle lua_State only),ShowVoiceChat,005D3690,,,,Returns whether voice chat can be displayed,""
battle script commands (battle lua_State only),Single_Line_Cavalry_Left_Flank,005D36E0,,,,,""
battle script commands (battle lua_State only),Single_Line_Cavalry_Right_Flank,005D37B0,,,,,""
battle script commands (battle lua_State only),Single_Line_Standard,005D3880,,,,,""
battle script commands (battle lua_State only),Slow,005D3950,,,,,""
battle script commands (battle lua_State only),SquadInfoByPointer,005D3970,,,,Notify the game that mouse has moved over this card,""
battle script commands (battle lua_State only),Stop_Rotating_Rendering,005D3A80,,,,,""
battle script commands (battle lua_State only),TickPeriod,005D3AA0,,,,Returns the current time multiplier of the battle,""
battle script commands (battle lua_State only),Time,005D3BB0,,,,Returns the current time in seconds,""
battle script commands (battle lua_State only),ToggleMinimisedCards,005D3BF0,,,,Toggles cards on and off,""
battle script commands (battle lua_State only),ToggleMinimisedOrders,005D3C60,,,,Toggles orders on and off,""
battle script commands (battle lua_State only),ToggleMinimisedRadar,005D3CD0,,,,Toggles radar on and off,""
battle script commands (battle lua_State only),ToggleMusic,005D3D40,,,,Toggles Music on and off,""
battle script commands (battle lua_State only),ToggleSFX,005D3DA0,,,,Toggles SFX on and off,""
battle script commands (battle lua_State only),ToggleShipFiringArcs,005D3E30,,,,Toggle the display of ship firing arcs,""
battle script commands (battle lua_State only),TriggerAdviceForPanel,005D3E40,,,,In: Name of panel,""
battle script commands (battle lua_State only),TriggerMessageDropEvent,005D3EE0,,,,Plays the sound that occurs when a message hits the bottom of the msg stack,""
battle script commands (battle lua_State only),TriggerMessageOpenedEvent,005D3F70,,,,In: Message id,""
battle script commands (battle lua_State only),TriggerPanelClosedEvent,005D40B0,,,,In: Name of panel,""
battle script commands (battle lua_State only),TriggerPanelOpenEvent,005D4170,,,,In: Name of panel,""
battle script commands (battle lua_State only),Triple_Line_Grand_Battery,005D4250,,,,,""
battle script commands (battle lua_State only),Triple_Line_Integrated_Artillery,005D4320,,,,,""
battle script commands (battle lua_State only),Triple_Line_Standard,005D43F0,,,,,""
battle script commands (battle lua_State only),UILocalisationString,00479520,,,,Retrieve a string from the ui.loc file,""
battle script commands (battle lua_State only),UISkin,005D44C0,,,,Tells us what the currently selected Ui skin is (which should equate to the sub-folder used,""
battle script commands (battle lua_State only),UnitListForBattleIds,005D44F0,,,,Out: Returns a list of BattleUnit instances representing all units in the battle that need a battle id displaying,""
battle script commands (battle lua_State only),UnitScaleFactor,005D48C0,,,,"In: (Opt) current scale factor, Out: float value representing current unit scale, index into scale factors list : 0-3",""
battle script commands (battle lua_State only),UpdateBattleLocks,005D4960,,,,Updates the battle sequences if any are appropriate for this battle,""
battle script commands (battle lua_State only),Valid,005D4B60,,,,Is the UI open,""
battle script commands (battle lua_State only),WindDirection,005D4B90,,,,Update the wind pointer,""
battle script commands (battle lua_State only),WindowsTime,005D4BF0,,,,Returns the current time in seconds,""
battle script commands (battle lua_State only),ZoomToAdviceLocation,007911C0,,,,Moves the camera the current advice on the c++ side,""
battle script commands (battle lua_State only),ZoomToGeneral,005D4C40,,,,checks if a unit is selectable,""
battle script commands (battle lua_State only),ZoomToUnit,005D4D60,,,,Zoom the camera over to a particular unit,""
battle script commands (battle lua_State only),show_allied_units_proxies,005D4EB0,,,,,""
frontend / menu commands,AreFriendsStatsDownloading,0046A4B0,,,,Out: true/false if the stats are downloading or not,""
frontend / menu commands,ArmyFundsForSize,0046A4F0,,,,In: Integer value representing size of army (0-2).  bool: is naval.  Out: Allowed funds for that size,""
frontend / menu commands,BattleMapDetailsFromPreviousSetup,0046A550,,,,In: Pointer to a battle setup object.  Out: Table of details about the setups map,""
frontend / menu commands,BattleTypeString,0046A660,,,,"In: string identifying a battle type, Out: Localised form of that string",""
frontend / menu commands,BattleTypesFilterString,0046A730,,,,Out: Enumerate supported battle types in a form suited for a dropdown list,""
frontend / menu commands,BattleWeatherAndTimeOfDayOptionsString,0046A860,,,,"In: Battle record key, Out: Dropdown menu formated options strings for weather and time of day",""
frontend / menu commands,BuildCpuName,0046AFB0,,,,In: cpu id number.  Out: Formatted name string,""
frontend / menu commands,BuildCredits,0046B100,,,,In: Parent Component.  Out: Height of all the credits. Credits file will be parsed and added as children to the parent,""
frontend / menu commands,BuildInfoSetup,0046BA90,,,,Builds a table of information required by the UIBattleSetupObject,""
frontend / menu commands,CampaignDetails,0046BCC0,,,,Retrieves various details about the specified campaign,""
frontend / menu commands,CampaignSavesExist,0046CE60,,,,Out: Flag to indicate whether any campaign save games exist on disk,""
frontend / menu commands,CancelHostedGame,0046CEB0,,,,Cancel the hosted game,""
frontend / menu commands,ClearPreviousSetup,0046CED0,,,,Clears any previous battle setup,""
frontend / menu commands,CloseMapDataFile,0046CEF0,,,,,""
frontend / menu commands,ContinueCampaign,0046CF00,,,,Load the most recently saved campaign game,""
frontend / menu commands,DefaultPrefsForBattle,0046CF60,,,,"In: xml file battle specification. Out: Table of details about season, time of day and weather",""
frontend / menu commands,DropInInterface,0046D300,,,,Out: Pointer to a dropin interface to be passed to UIMPInterface object,""
frontend / menu commands,EnableCreditScreenMusic,0046D360,,,,In: boolean,""
frontend / menu commands,EnableVoiceChat,0046D3B0,,,,In: true/false to start/stop voice chat,""
frontend / menu commands,EnumerateArmySetups,0046D410,,,,"In: Directory, file extension, Current era, current army size, current_unit_limit (from unit scale), allowed factions. Out: Lists unit saves that are complient with the settings provided",""
frontend / menu commands,EnumerateBattleMaps,0046D7C0,,,,Find all the battle maps of a given type,""
frontend / menu commands,EnumerateBattleReplays,0046D930,,,,"In: replay directory, file extention.  Out: Table of details about each replay file found in the directory",""
frontend / menu commands,EnumerateCampaignSaves,0046D970,,,,"In: Save game directory, file extension, Out: Table of details about each save game found in the directory",""
frontend / menu commands,EnumerateCampaigns,0046D990,,,,In: Boolean - Enumerate episodic campaigns (or grand campaigns)? Out: Table of details about each episodic campaign available,""
frontend / menu commands,EnumerateMultiplayerCampaignSaves,0046DFB0,,,,"In: Save game directory, file extension, Out: Table of details about each save game found in the directory",""
frontend / menu commands,EnumerateNapoleonsBattleMaps,0046DFF0,,,,Find all the battle maps of a given type,""
frontend / menu commands,EnumerateNapoleonsCampaigns,0046E1A0,,,,Out: Table of details about each of napoleons campaigns,""
frontend / menu commands,FactionDetails,0046E950,,,,"In: Faction key (string), era enum Out: Details from the faction record",""
frontend / menu commands,FactionListForBattles,0046EB10,,,,"In: IsNaval (boolean), era value (0,1), Out: List of details about all factions defined in the database that have mp_available set to true",""
frontend / menu commands,FileExtenstionAndPathForWriteClass,0046EE50,,,,"In: string identifying OSFS_WRITECLASS.  Out: File extension used by that class, directory files are kept in",""
frontend / menu commands,FormatMinutesString,0046F020,,,,"In: number of minutes, Out: Format time string (%d minutes",""
frontend / menu commands,FrontEnd,0046F0F0,,,,Out: Returns a pointer to the frontend object,""
frontend / menu commands,FullUnitInformation,0046F130,,,,"In: Unit record key, faction record key, is_late_era, Out: Information about that unit that is required for the unit information panel",""
frontend / menu commands,GameVersion,0046F940,,,,Out: Current game version number,""
frontend / menu commands,GenerateRegionOwnershipMaps,0046F990,,,,"In: Table of expected theatres, Campaign key, Faction key (opt: faction 2 key), Out: Table of images depicting region ownership for that faction in each theatre",""
frontend / menu commands,GenerateShipName,00470430,,,,"In: Faction, unit class.  Out: A randomly generated ship name string",""
frontend / menu commands,GetExtendedMPSaveGameInfo,004704D0,,,,"In: Path to save game, Out: Table of extra details about that save game",""
frontend / menu commands,GetExtendedSaveGameInfo,004705E0,,,,"In: Path to save game, Out: Table of extra details about that save game",""
frontend / menu commands,GetWaterlooBattleDetails,004706F0,,,,"OUt: title, description, specification and unlock status of the waterloo battle",""
frontend / menu commands,ListOfPlayersInGame,00470840,,,,Get list of players ,""
frontend / menu commands,LoadArmySetup,004708A0,,,,"In: Path of file to load, Out: Table of army details",""
frontend / menu commands,LoadBattleReplay,00470990,,,,In: Path to replay to load,""
frontend / menu commands,LoadBattleSetup,004709F0,,,,In: Filename to load.  Out: Table of preferences and army lists or nil on failure,""
frontend / menu commands,LoadCampaign,00471520,,,,In: Path to campaign file to load,""
frontend / menu commands,LocalPlayerName,00471570,,,,Out: Retrieve the name of the player,""
frontend / menu commands,LocalisationString,004715E0,,,,Retrieve a string from the random localisation strings table,""
frontend / menu commands,LocalisedGameTypeString,004716E0,,,,"In: Selected Campaign victory condition type (1 based), Out: Localised string for that game type",""
frontend / menu commands,MPCampaignEnabled,00471750,,,,Out: Returns true if mp campaign is enabled,""
frontend / menu commands,MPCampaignSavesExist,00471770,,,,Out: Flag to indicate whether any multiplayer campaign save games exist on disk,""
frontend / menu commands,MPCanCancelQuickBattle,004717C0,,,,Out: Returns whether we have passed the point of no return when looking for quick battles,""
frontend / menu commands,MPChangeRoom,00471830,,,,In: Room id,""
frontend / menu commands,MPCurrentGameDetails,00471860,,,,"Out: Details of the current game (preferences as set by host), or nil if not in a game",""
frontend / menu commands,MPExperienceTables,00472330,,,,"In: bool to specify land/naval battle modifiers (true if naval), Out: Table of fixed cost, multiplier tables for experience levels 0-9",""
frontend / menu commands,MPGameInfoList,004726D0,,,,"In: boolean, battle or campaign.  Out: Table of details for all the mp games active for that mode, for the time being, in a single room",""
frontend / menu commands,MPHasGameInvite,004735A0,,,,Out: Returns true if there is a game invite pending,""
frontend / menu commands,MPHasLobby,00473600,,,,,""
frontend / menu commands,MPHostCampaign,00473650,,,,"In: Game name and password, year and season. Out: Boolean success value",""
frontend / menu commands,MPHostCustomBattle,00473920,,,,"In: Table containing: Game map path, map_name, game name, password, max_players, ranked, customise_armies, battle type, army_size (as int).  Hosts a battle.",""
frontend / menu commands,MPInterface,004741D0,,,,Out: Pointer to the multiplayer control module (to be passed to UIMPInterface object,""
frontend / menu commands,MPInviteToGame,00474210,,,,In: Array of Steam Player Id's.,""
frontend / menu commands,MPIsJoiningByInvite,004742E0,,,,"Out: Boolean, are we joining a game via an invite in online mode (false if lan), nil if not joining on",""
frontend / menu commands,MPIsOnline,00474330,,,,"Out: Boolean, are we logged on in online mode (false if lan), nil if not logged on",""
frontend / menu commands,MPJoinGame,00474380,,,,"In: index, password, join the multiplayer game with the specified index.  Password string can be empty",""
frontend / menu commands,MPJoinInvitedGame,004744D0,,,,"In: password. Out: True/false join success.  If false then true/false if failed due to needing a password, followed by error message",""
